Text,True_Label,predicted_label,is_correct
video mahfud md joget membubarkan fpi,1,0,False
ridwan kamil golkar sodorkan airlangga kib capres,0,0,True
tepis isu hengkang partai sandiaga uno kader gerindra,0,0,True
bayi berumur menyebut nama allah,1,0,False
rian ernest sederet kader pentolan hengkang psi,0,0,True
akun whatsapp wakil bupati purworejo,1,0,False
konsekuensi konsekuensi gelar dki dki jakarta dicopot,0,0,True
juli mengurus sim skck membutuhkan sertifikat vaksin covid,1,0,False
wiranto temui bem nusantara pakar politik skenario memecah gerakan mahasiswa,0,0,True
gus jazil anies baswedan pintar pidato manusia bisanya gabener,1,0,False
koalisi gerindra pkb partai demokrat bilang godok kerjasama parpol,0,0,True
presiden jokowi pimpin jajak pasar ikn pertengahan oktober,0,0,True
sidang paripurna dpd putuskan uji materi presidential threshold mk,0,0,True
informasi lowongan pekerjaan pt pelabuhan indonesia iii,1,0,False
jokowi mengangguk jose ramos horta gabung asean kepemimpinan ri,0,0,True
jokowi kesal dituduh intervensi pemilu politikus demokrat asap api,0,0,True
objek wisata kabupaten pangandaran dibuka,1,0,False
video pesawat kiamat milik rusia china kepulauan pasir,1,0,False
vaksin penyebab autis,1,0,False
sehari mentrinya jd tsk bantuan covid yg ditilep kantor kemensos terbakar,1,0,False
dukun meninggal covid menghirup napas pasien covid,1,0,False
foto anak korban penculikan gorontalo,1,0,False
kedatangan tka model rambut cepak,1,0,False
pbnu anggap mardani maming terkena fitnah rekayasa fakta,0,0,True
foto yoshitha rajapaksa membangun hotel deniyaya,1,0,False
anwar usman adik jokowi idayati akad nikah prosesinya,0,0,True
menyebutnya disinfeksi,1,0,False
foto christiano ronaldo produk insto,1,0,False
video viral diduga oknum tni curi kotak amal,1,0,False
jokowi siang lantik anggota kpu bawaslu,0,0,True
video imam yg menyuruh rapatkan shaf sholat ditangkap,1,0,False
artikel liputan com rhoma irama salah bilang sentuh miras setetes nyabu,1,0,False
alfamart membagikan hadiah mobil belanja gratis rangka hut ri,1,0,False
foto subehanallah penampakan malaikat orang sholat masjid nabawi,1,0,False
anwar usman nikahi adik jokowi wapres ma ruf amin panglima tni saksi,0,0,True
tulisan negeri diserang kekuatan,1,0,False
pedangdut elvy sukaesih meninggal dunia,1,0,False
dijemput paksa wali kota ambon dukung kpk,0,0,True
video perobohan rumah lantaran istri ketahuan selingkuh suami,1,0,False
mobil gibran dihancurkan posting foto anies pakai baju kpk,1,0,False
fraksi pdip dpr usulkan pembentukan pansus tragedi kanjuruhan,0,0,True
foto kampanye rajiun tumada marobo,1,0,False
wanita berhijab ditembak mati alasan,1,0,False
habis apel ganyang pki ga perduli kovidan dapur ngebul,1,0,False
video kebenaran jarum suntik spuit palsu dipersiapkan pemimpin dunia,1,0,False
tolak kenaikan harga bbm mahasiswa bakar ban kantor ganjar,0,0,True
flyer acara pemilihan miss waria banten,1,0,False
otoritas padang kirimkan ton rendang reuni akbar,1,0,False
baim hadiah juta,1,0,False
fluoride pasta gigi air sebabkan kematian,1,0,False
dukungan puan maharani maju pilpres pdip,0,0,True
jokowi fokuskan pembahasan pemulihan ekonomi ktt apec,0,0,True
cerita dugaan peretasan akun pengurus bem si demo april,0,0,True
foto gadis arab saudi meninggal dunia berhasil menghafal juz alquran,1,0,False
semut makan otak manusia masuk telinga,1,0,False
ridwan kamil maju pilpres pdip pasar politik menentukan,0,0,True
video angin puting beliung menerjang pemalang,1,0,False
menolak peniadaan menu babi kanada menolak konsesi berkaitan islam syariah,1,0,False
megawati dikabarkan umumkan capres pdip,0,0,True
maklumat majelis rakyat papua mahasiswa papua kota studi melanjutkan studi,1,0,False
smkn jakut memasang foto presiden jokowi,1,0,False
koalisi pks nasdem demokrat diprediksi alot tentukan cawapres,0,0,True
wapres ikhlaskan dana haji pakai pemerintah biar masuk surga,1,0,False
foto penipuan medis alat tes suhu kening alat sinar leser tes suhu kabel proyek covit,1,0,False
majelis syura kader pks anies baswedan capres,0,0,True
binatang aneh muncul pakanbaru badannya kelelawar berenang air,1,0,False
lanjutkan safari politik anies baswedan keliling pulau sumatera,0,0,True
mendagri tito karnavian resmi lantik penjabat gubernur,0,0,True
elektabilitas nol koma airlangga disarankan turun masyarakat,0,0,True
luhut klaim juta orang dukung tunda pemilu hasto dibahas,0,0,True
jokowi lepas baju pdip megawati murka,1,0,False
baim adakan hadiah rp,1,0,False
kpu kegusaran pemerintahan jokowi bebek lumpuh pilpres,0,0,True
komnas ham temukan pelanggaran ham kematian ustadz maaher,1,0,False
hadiah rp juta rangka ulang bri,1,0,False
mengenal sistem noken pemungutan suara pemilu papua,0,0,True
bawa tanah air ikn ridwan kamil gunung dikeramatkan,0,0,True
meminum cairan pohon pisang menyembuhkan asam lambung,1,0,False
hasto pdip pernyataan ganjar nyapres dijadikan gimmick politik,0,0,True
pbnu sumbangkan banser mengamankan pemilu,0,0,True
kondisi masjid diserang polisi brimob,1,0,False
akun whatsapp wakil wali kota bekasi tri adhianto,1,0,False
akun facebook wali kota malang sutiaji sutiaji,1,0,False
kebijakan ticketmaster wajibkan vaksin covid menghadiri konser,1,0,False
pj gubernur papua barat paulus waterpauw kapolda papua,0,0,True
judul artikel nama muhammad ali dilarang terbang kebijakan imigrasi bukti diskriminasi umat islam,1,0,False
anies jakarta macet jam pagi sepi,1,0,False
video domba mati idaho amerika serikat,1,0,False
video jenazah covid merokok,1,0,False
pdip psi pan refly harun berlaku sistem proporsional tertutup pemilu,0,0,True
tuduhan rekayasa video aerobik bang jago myanmar,1,0,False
paul pogba timnas perancis agama islam dihina,1,0,False
foto keluarga agus harimurti yudhoyono berwisata sby berobat kanker prostat as,1,0,False
ppp papua barat dukung ganjar pranowo maju pilpres,0,0,True
berita penyerang mesjid yg bondon dobol yg endingnya dicap orang gila,1,0,False
imbauan modus kejahatan terbaru anak menangis jalan polri,1,0,False
pdip menteri nasdem dievaluasi isu reshuffle hasto dasarnya kajian objektif,0,0,True
bambang pacul megawati arahan bahas capres,0,0,True
komisi ii dpr pastikan bahas anggaran tahapan pemilu reses,0,0,True
dki ganti slogan pks pj gubernur terkesan hapus jejak anies baswedan,0,0,True
kota tarakan kalimantan utara bebas covid,1,0,False
sekolah dasar negeri cebongan jl kolam kodok no,1,0,False
pesan berantai tautan pendaftaran kartu prakerja,1,0,False
elite nasdem usulkan duet anies ahy demokrat lakukan survei internal,0,0,True
gambar jokowi menghadang tank kerusuhan ukraina,1,0,False
media menyiarkan demo ruu hip,1,0,False
narasi pesan himbauan pencegahan virus corona mengatasnamakan unicef,1,0,False
covid murni sebabkan kematian,1,0,False
begal beraksi wilayah cileweung korban wanita alami luka bacok,1,0,False
video buaya dusun lopang driyorejo gresik,1,0,False
top nasional ketua kahmi dorong anggotanya sukseskan anies baswedan pilpres gempa susulan cianjur kagetkan warga,0,0,True
akun facebook wali kota surabaya eri cahyadi menawarkan pinjaman uang,1,0,False
nasib aset kementerian jakarta pindah ikn,0,0,True
muktamar muhammadiyah dahlan rais pemilihan calon anggota pp via e voting penuhi azas luberjur,0,0,True
ade armando meninggal dunia,1,0,False
aliansi dokter dunia varian delta,1,0,False
jenazah eril dibawa pulang indonesia,1,0,False
jakarta,1,0,False
membaca kode jokowi capres pidato hut perindo,0,0,True
romahurmuziy ppp eks penyidik kpk mengejutkan,0,0,True
peluang koalisi demokrat gerindra pendekatan personal sby dinilai menentukan,0,0,True
surat penetapan penerima bantuan fisik pendidikan smp kemendikbudristek,1,0,False
deklarasi koalisi pengusung anies baswedan nasdem tunggu,0,0,True
ikad driyarkara politik kebencian dihentikan ade armando dikeroyok,0,0,True
video warga india diserang serangga beracun,1,0,False
dwayne the rock johnson meninggal syuting,1,0,False
warga rayakan penangkapan bupati cianjur terkait penggelapan dana bansos korban gempa,1,0,False
prabowo didesak maju capres jubir beliau fokus menteri pertahanan,0,0,True
hasil survei litbang kompas pilpres bandung,1,0,False
video demo menolak wajib vaksin brazil,1,0,False
flyer penerimaan cpns kementerian pertahanan,1,0,False
foto storm approaching paris france,1,0,False
kilas perjanjian ekstradisi indonesia singapura,0,0,True
puan maharani hasto jogging gbk peringati hut kemerdekaan ri,0,0,True
cina landa virus corona allah hadiah kpd umat muslim cina terbukanya mesjid daratan cina,1,0,False
foto hababina rizieq tangan kanan mulia baginda donald trump,1,0,False
bpmi bagikan dana bantuan pekerja migran rp juta,1,0,False
pencairan dana juta periode bni bri,1,0,False
beda suara hasto koalisi pks demokrat masinton ditegur pdip,0,0,True
petai menyembuhkan sakit pinggang,1,0,False
mui mengeluarkan daftar bumbu makanan mengandung babi,1,0,False
cawapres sandiaga uno berfoto romi sel penjara,1,0,False
polemik arteria dahlan ketua pdip jabar hormat suku sunda,0,0,True
video amatir perang rusia vs ukraina,1,0,False
konsumsi campuran air kelapa jeruk nipis garam madu menyembuhkan covid,1,0,False
psi apresiasi postur apbn dinilai dukung peningkatan kualitas sdm indonesia,0,0,True
muncul lembaga survei lakukan survei capres indonesia,0,0,True
tanggapi pernyataan ade armando pernyataan pbnu,0,0,True
listrik dipadamkan bergilir jam,1,0,False
jalan tol masjid ibadah rubuh,1,0,False
ganjar pranowo maju pilpres giring ganesha psi bersemangat,0,0,True
dokter malaysia dihukum mati bunuh pasien vaksin covid,1,0,False
foto jejak kaki janin perut ibunya,1,0,False
memakai masker menyebabkan kanker,1,0,False
bantah zulhas promosi anak pakai program pemerintah pan ketua partai mendag,0,0,True
hindu india melemparkan patung buatan laut menolong corona,1,0,False
wanita haid kali lakukan,1,0,False
anggaran fantastis pemilu ketua kpu bilang bangun infrastruktur,0,0,True
pembuatan sim tes februari,1,0,False
tangkapan layar resmikan tol aceh denny udah berganti presiden jokowi lantas presiden nya kerjanya ya,1,0,False
hadir partai pelita gatot nurmantyo bilang berpartai,0,0,True
video tanah abang penuh bray,1,0,False
artis agnez mo meninggal akibat dibunuh,1,0,False
china menghancurkan dunia,1,0,False
bidik tokoh lokal maju capres forum musra cari persis jokowi,0,0,True
dihina presiden lebanon turki kirim bantuan kali,1,0,False
pemilu diadakan februari pdip persingkat kampanye,0,0,True
teks terjemahan video penyelundup narkoba menangis histeris,1,0,False
indonesian military using chemical weapons on west papuans,1,0,False
undangan aksi damai pasca pendiskualifikasian pasangan calon walikota makasar nomor urut,1,0,False
demokrat deklarasi anies capres terbuka terpenuhi pt persen,0,0,True
sandiaga tegak lurus gerindra dasco patuh dicapreskan prabowo,0,0,True
video berita terkini disangka sangka deklarasi ganjar langsung disambut pemecatan pdip,1,0,False
vaksin praktik depopulasi rakyat,1,0,False
eks pimpinan kpk anies baswedan sengaja dihambat formula e,0,0,True
karyawan pabrik esemka terkena corona pabrik diliburkan,1,0,False
safari politik anies baswedan aceh riau terhambat pks,0,0,True
surat edaran permintaan data siswa berprestasi ajaran,1,0,False
jokowi menteri standar kondisi dunia normal,0,0,True
tautan huawei bagikan hadiah,1,0,False
ferdy sambo teriak ngamuk ngamuk diseret eksekusi,1,0,False
harga bbm survei lsi mayoritas masyarakat setuju,0,0,True
pesan pengumuman pemenang hadiah rp juta tiktok,1,0,False
psi singgung kementerian tersandung isu reshuffle kabinet,0,0,True
organisasi kepemudaan gelar jokowi pemuda inspirasi bangsa,0,0,True
elektabilitas gerindra posisi prabowo perintahkan kader turun rakyat,0,0,True
indonesia satunya negara didunia pemerintahnya bahagia merelakan rakyatnya kelinci percobaan vaksin china,1,0,False
foto demodex hidup bulu mata,1,0,False
amankan ktt g kapal perang tni disiapkan lokasi stategis,0,0,True
presiden jokowi netral pilpres,0,0,True
daftar buku membedah peristiwa gs,0,0,True
tito karnavian klaim pemilihan penjabat gubernur demokratis,0,0,True
akun facebook wali kota singkawang tjhai chui mie,1,0,False
pengamat anggap puan maharani dipromosikan capres penugasan safari partai,0,0,True
tangkapan layar berita merdeka com menteri yaqut polisi jaga masjid tarawih cegah radikalisme,1,0,False
demonstran tewas cekik aparat,1,0,False
video warga mudik sungai,1,0,False
betapa malang bangsa dikelola bandit,1,0,False
anak ditahan akibat sang ketahuan mencuri,1,0,False
sinyal reshuffle menguat pdip isu olly dondokambey masuk kabinet,0,0,True
foto orang orang iran sekarat kekurangan pasokan air,1,0,False
pdip cabut dukungan pks pintu amandemen uud tertutup,0,0,True
prabowo capres tunggal gerindra muzani kader rombongan turun,0,0,True
budaya syahri mata uang edisi khusus kemerdekaan indonesia,1,0,False
peneliti brin ganjar pranowo sukses kembangkan umkm jawa,0,0,True
hasto pdip biar berdansa politik fokus turun,0,0,True
jokowi salurkan blt minyak goreng pengamat bukti pemerintah kalah mafia,0,0,True
seekor ayam memiliki penis penis manusia,1,0,False
vaksin hiv kanker meledak,1,0,False
video badai ian naples florida,1,0,False
video begal payudara amuk massa,1,0,False
tni au bentuk satuan pesawat awak,0,0,True
penyakit makula,1,0,False
gambar munarman sayangkan teroris ditembak mati presiden jokowi teroris tanah air presiden ri habisi,1,0,False
mahfud md reformasi polri bandar judi tersangka wewenang propam dipecah,0,0,True
jokowi doakan jemaah haji mabrur selamat pulang indonesia,0,0,True
rieke pki salah,1,0,False
dpr targetkan ruu dob papua barat daya dibawa paripurna september,0,0,True
tsamara amany mundur psi perjalanan karir politiknya,0,0,True
kunjungan amerika selesai jokowi rombongan pulang indonesia,0,0,True
lika liku jalur politik muhammad adil bupati meranti meradang kemenkeu,0,0,True
foto post presiden chechnya dukung prabowo sandi,1,0,False
jokowi bertolak kaltim besok berkemah titik nol ikn,0,0,True
bayi ikan hiu dajjal,1,0,False
survei charta politika persen responden setuju reshuffle kabinet jokowi,0,0,True
bukit lockdown,1,0,False
mantan bupati gresik meninggal dunia,1,0,False
wacana perpanjangan jabatan kepala desa pan ambil sikap,0,0,True
suara keras buya syafii maarif ahok,0,0,True
video cacing kaleng,1,0,False
pembahasan tahapan pemilu molor komisi ii dpr kritik kpu sibuk safari,0,0,True
mustafa kemal ataturk sosok menginspirasi soekarno,0,0,True
ferdy sambo kaget jessica kumala bongkar bukti hakim,1,0,False
akun facebook wakil bupati bogor foto profil kemeja putih berpeci hitam,1,0,False
studi cdc mengonfirmasi kekebalan alami kuat vaksin covid,1,0,False
korban selamat bom gereja rawat rsj pembengkakan otak,1,0,False
survei mayoritas masyarakat pasang capres cawapres pilpres,0,0,True
surat edaran dana bantuan apbn apbd ditjen dikti,1,0,False
bangunkan saudaramu rakyattahukaliancurang,1,0,False
detik com beritakan ketua psi nyatakan menteri kabinet kerja jokowi,1,0,False
anies baswedan bertemu ahy koalisi partai demokrat partai nasdem pks persen,0,0,True
rekaman pesawat yeti airlines jatuh nepal terekam kamera mobil,1,0,False
ktp el terbitan diaktivasikan,1,0,False
mkd dpr panggil mahfud md ketua ipw ferdy sambo,0,0,True
nasdem bantah kadernya ajukan gugatan mk sistem pemilu proporsional terbuka,0,0,True
pelaku bom gereja katedral makassar mantan polisi agama kristen protestan,1,0,False
disuntik vaksin dokter palembang meninggal,1,0,False
golkar dukung pengesahan ruu tpks,0,0,True
foto diliput media kondisi anies tangani banjir jakarta,1,0,False
bertemu gibran solo bima arya persen bicara kota persen nyundul politik,0,0,True
breaking news megawati mengundurkan ketua pdip,1,0,False
kartu nikah versi kolom foto istri,1,0,False
peringatan gempa tsunami akun bupati bantaeng,1,0,False
jokowi bilang rakyat selepas jabatannya habis,0,0,True
drone emprit anies baswedan terpopuler medsos dibicarakan negatif,0,0,True
pdip buka peluang koalisi nasdem bambang pacul surya paloh megawati,0,0,True
coba itu… dibayar brapa emak emak brani berbuat spt itu…urusan capres gak inget hijab,1,0,False
megawati ulang bunga papan kembang berjejer teuku umar,0,0,True
ruu pdp disahkan puan maharani tangisan rakyat akibat pinjol doxing,0,0,True
jokowi temui tim bravo ormas binaan luhut binsar pandjaitan,0,0,True
artikel polisi babak belur dihajar,1,0,False
kamis besok fpi pa demo dpr ri stok makanan rumah menipis lumayan nasi bungkus,1,0,False
keturunan pki tentara suara warganet terbelah,0,0,True
rumah neno warisman dikepung preman,1,0,False
luhut bertemu airlangga isu perpecahan golkar,0,0,True
tangkapan layar kompas com eksclusive kapal selam cina b kri nanggala,1,0,False
sby kembalikan dana bank century rp triliun bantu covid,1,0,False
foto anak rohingya disiksa komunis,1,0,False
kategori survei capres elektabilitas kandidat,0,0,True
semenjak jokowi presiden pki membakar benderanya,1,0,False
sekjen pdip kapasitas luhut bicara penundaan pemilu,0,0,True
akun facebook pribadi bupati lampung barat parosli mabsus,1,0,False
gambar tangkapan layar artikel cnbc luhut jawa barat mendukung periode,1,0,False
pesan whatsapp razia stnk wilayah indonesia,1,0,False
deretan kontroversi terawan berujung pemecatan idi,0,0,True
foto anies baswedan panen padi hijau,1,0,False
menkominfo johny g plate dipecat,1,0,False
video gak pakai masker singapura ditangkap,1,0,False
tni diselundupkan tanah arab,1,0,False
mensos apresiasi rina kusumastuti penemuan metode penurunan berat badan kilogram seminggu,1,0,False
krisis pangan dunia jokowi cerita dihubungi pm minyak goreng,0,0,True
kertas suara pemilu dibakar sampah kecurangan didiamkan dilindungi aparat pejabat,1,0,False
safari politik anies baswedan kesempatan mendengar aspirasi masyarakat,0,0,True
ahy aher disodorkan cawapres anies baswedan partai nasdem tawarkan jalan,0,0,True
surat permohonan dana bantuan pengamanan pelaksanaan pilkada gubernur ntb,1,0,False
diduga terinfeksi virus corona warga depok diisolasi,1,0,False
penyanyi henny purwonegoro meninggal dunia,1,0,False
video wanita plastik cina,1,0,False
jabatan setahun panglima tni yudo margono laksanakan tugas optimal,0,0,True
hasto megawati geleng geleng kepala dengar isu kerenggangan jokowi,0,0,True
giveaway kedas beauty,1,0,False
jokowi besok lantik yudo margono panglima tni,0,0,True
fpi mengancam kedaulatan nkri yg menunggangi nu bersihkan menhan prabowo subianto,1,0,False
romahurmuziy ppp mardiono bilang partainya dukung pemberantasan korupsi,0,0,True
ijazah sma jokowi palsu,1,0,False
pesan berantai adidas masker,1,0,False
foto pasca banjir kulawi desember,1,0,False
jokowi terima pm singapura lee hsien loong bintan,0,0,True
foto udara spinx an,1,0,False
kas negara kosong,1,0,False
pks nilai daftar ciri penceramah radikal versi bnpt timbulkan perpecahan,0,0,True
bpk jokowi tindaklanjuti ihps ii bantuan salah sasaran,0,0,True
karni ilyas dipanggil istana presiden jokowi tv one siarkan langsung reuni akbar,1,0,False
foto berita waketum gerindra pan partai bunglon hasil suntingan,1,0,False
phk besaran bca,1,0,False
video politisi brasil dilempar sungai,1,0,False
covid rencana depopulasi dunia,1,0,False
din syamsuddin dirikan partai pelita komentar muhammadiyah,0,0,True
helikopter milik azerbaijan jatuh,1,0,False
top nasional ferdy sambo diberhentikan hormat kpk sita uang rp m unila,0,0,True
polemik perpu kpk arsul sani balas kritik mahfud md berani koreksi internal pemerintah,0,0,True
survei csis golkar populer pemilih muda demokrat disukai,0,0,True
timor leste bergabung indonesia,1,0,False
foto singapore banjir kayak gini,1,0,False
ksp sosok kepala otorita ikn bambang susantono sulit dicari,0,0,True
vaksin corona terbukti aman efektif coronavirus flu pandemi palsu,1,0,False
jokowi politik identitas pemilu,0,0,True
jokowi silver button mencapai covid,1,0,False
bus pemain timnas brasil dilempari batu supporternya,1,0,False
video meledaknya pertamina indramayu mobil mewah terbakar,1,0,False
video luhut perintahkan kabareskrim mengusut pembunuhan brigadir j,1,0,False
bicara politik acara koalisi indonesia bersatu luhut udah ngantuk,0,0,True
aksi tolak pengesahan rkuhp nenek berusia hak dirampas dibegal,0,0,True
info jalur rawan begal himbauan malam kapolres cianjur,1,0,False
akun telegram pt saratoga investama sedaya tbk,1,0,False
pan masuk kabinet muhaimin ganggu jatah pkb,0,0,True
jokowi dpr sahkan ruu tpks,0,0,True
hadiah sepeda listrik gratis,1,0,False
gempa susulan berpotensi tsunami madura,1,0,False
pdip sindir ring jokowi acara relawan mensesneg fokus pemerintahan,0,0,True
pks tagih janji mendag lutfi umumkan pengusaha minyak goreng nakal,0,0,True
kalimat kh maimun zubair meninggal rizieq shihab,1,0,False
surya paloh bertemu jokowi panas dingin hubungan,0,0,True
andika perkasa purnawirawan tni segini gaji pensiunnya,0,0,True
gantikan jokowi negeri kewenangan ma ruf amin,0,0,True
situs tamsh news dot com,1,0,False
mahathir mohamad isi kuliah rakernas nasdem,0,0,True
geoge floyd tewas ditembak,1,0,False
gelombang dahsyat menghancurkan laut selatan jabar dij,1,0,False
gibran rakabuming temui ketum perindo hary tanoe yogya,0,0,True
eksperimen simpanse anak dihentikan anak meniru tingkah monyet,1,0,False
penyintas petrus kepres nomor sulit diterima nalar,0,0,True
hadiri acara deklarasi capres moeldoko fokus tugas negara,0,0,True
jokowi berterima kasih masyarakat suku dayak dukung ikn,0,0,True
kutub utara,1,0,False
bupati lumajang menyesalkan ketua dprd mundur hafal pancasila,0,0,True
pdip pastikan usung capres pilpres,0,0,True
virus covid memiliki motif antibody dependent enhancement ade,1,0,False
koalisi pki – p,1,0,False
inspirasi bupati tegal umi azizah hapus setoran atasan,0,0,True
farhat abbas layangkan gugatan bawaslu keputusan kpu loloskan partai pandai,0,0,True
satgassus merah putih diduga berkomplot lindungi ferdy sambo ipw polisi elite,0,0,True
peta covid dki dki zona merah bogor zona hitam,1,0,False
jokowi plt ketua hipmi penundaan pemilu,0,0,True
akun whatsapp wakil bupati sinjai transfer dana,1,0,False
ferdy sambo nekat hidup gantung,1,0,False
gambar minuman keras fifa,1,0,False
isu reshuffle kabinet juni prabowo dikabarkan menemui jokowi,0,0,True
video rumah sakit terkenal brazil kosong orang positif corona,1,0,False
foto presiden jokowi pelawak istana negara dikaitkan covid,1,0,False
biarkan pribumi,1,0,False
akun whatsapp ketua dprd tangsel abdul rasyid,1,0,False
pj gubernur provinsi papua dilantik profilnya,0,0,True
lelang internal bea cukai,1,0,False
zulkifli hasan deklarasi capres melangkahi presiden,0,0,True
isu reshuffle petinggi pan zulkifli hasan dipanggil jokowi,0,0,True
deretan relawan anies baswedan menjelang pilpres,0,0,True
dpr anggota kpu bawaslu mewakili sabang merauke,0,0,True
ketua komisi iii dpr rkuhp tinggal disahkan paripurna,0,0,True
modus pembunuhan rekaman suara tangisan bayi membuka keran air,1,0,False
vaksin covid mengandung graphene oxide bereaksi getaran musik,1,0,False
artikel tempo berjudul jokowi korban meninggal takdir perpanjang,1,0,False
akun facebook wali kota bogor tawarkan bantuan modal usaha,1,0,False
orang meninggal hidup,1,0,False
jokowi cerita tolak lockdown pandemi covid semedi,0,0,True
video ambulance sengaja muter muter kosong ngemplak sukoharjo ugalan nabrak mobil masyarakat,1,0,False
video menyangka ratusan polisi jemput rizky billar tangisan lesti kejora pecah,1,0,False
foto demonstrasi paris prancis,1,0,False
cuti dihapus anggota dpr perpu cipta kerja berpihak pekerja,0,0,True
terkecoh erick thohir pribumi muslim berfoto ibunya ediba tan mei hwa kakak ibunya william soerjadjaja,1,0,False
bantuan juta pemerintah pemilik e ktp,1,0,False
rakyat muak jijik salaman selfie presiden jokowi widodo,1,0,False
indonesia mengirimkan perwakilan lgbt gay festival lgbt paris,1,0,False
warteg pasar pramuka mengalami kerugian dikunjungi anies baswedan,1,0,False
xi jinping tawarkan jokowi pembangunan senasib sepenanggungan cina indonesia,0,0,True
video anggota tim sukses bantuan paranormal jelang pilkada,1,0,False
jokowi ahok masuk daftar pemimpin terbaik ditakuti dunia,1,0,False
tanggapan yenny wahid dukungan psi maju bareng ganjar pranowo pemilu,0,0,True
video mengaji opening fifa,1,0,False
video perbatasan marinir australia kocar kacir diburu pasukan setn tni,1,0,False
ktt apec thailand jokowi hadiri muktamar muhammadiyah solo,0,0,True
foto titanic,1,0,False
presiden jokowi pimpin ritual kendi nusantara titik nol ikn pagi,0,0,True
holland memasang jembatan membantu hewan menyeberangi jalan,1,0,False
andika perkasa ganti pangdam cenderawasih pangdam kasuari,0,0,True
foto anak korban penculikan diambil organ tubuhnya depok,1,0,False
promosi komprehensif tokopedia dapatkan data intrnet gb isi ulang,1,0,False
china meluncurkan matahari buatan,1,0,False
berita tass rusia the united states reported that kyiv supplied white phosphorus used in karabakh to baku,1,0,False
kantor presiden bank dunia kesultanan buton,1,0,False
ijtima ulama desak pkb tentukan capres maret gerindra muhaimin sampakan prabowo,0,0,True
jokowi bilang pilpres jatah prabowo surya paloh upaya membesarkan hati,0,0,True
kjp dicabut kurungan anak anak rumah psbb,1,0,False
kementerian perhubungan alasan perjanjian fir singapura,0,0,True
perubahan tarif transaksi bri,1,0,False
nomor whatsapp rektor ugj mukarto siswoyo,1,0,False
pemeriksaan air liur bandara changi,1,0,False
anggota dpr pemekaran dob papua pakai apbn,0,0,True
ukraina tembak rudal jet tempur,1,0,False
minuman probiotik membantu sembuhkan kanker,1,0,False
menteri tjahjo kumolo setujui pemberlakuan wfh asn sepekan mudik,0,0,True
truk tni nomor polisi mengangkut warga china,1,0,False
